City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,grahamstown,-33.3042,26.5328,19.97,45,52,0.79,ZA,1682680169
341,poronaysk,49.2167,143.1167,1.48,85,40,4.78,RU,1682680169
342,north bend,43.4065,-124.2243,9.53,100,100,0.0,US,1682680170
343,okhotsk,59.3833,143.3,-1.27,97,67,0.52,RU,1682680171
344,casas grandes,30.3667,-107.95,13.91,28,0,3.27,MX,1682680172
345,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1682680172
346,cabedelo,-6.9811,-34.8339,27.37,78,74,4.57,BR,1682679954
347,cernay,47.8097,7.177,16.76,95,100,3.3,FR,1682680173
348,broken hill,-31.95,141.4333,16.16,58,51,8.05,AU,1682680174
349,warrenton,-28.114,24.8475,29.65,26,11,4.11,ZA,1682680175
350,novyy urgal,51.0736,132.5642,3.17,57,34,1.78,RU,1682680175
351,puerto santa,-8.9906,-78.6456,23.2,88,100,2.99,PE,1682680176
352,cidreira,-30.1811,-50.2056,17.13,82,97,2.9,BR,1682680177
353,santa cruz,-17.8,-63.1667,20.98,88,96,1.43,BO,1682680177
354,nasir,15.5894,32.5634,37.71,8,42,4.48,SD,1682680178
355,katsuura,35.1333,140.3,17.66,75,100,7.15,JP,1682680179
356,kapa'a,22.0752,-159.319,22.18,85,100,5.66,US,1682680179
357,nova xavantina,-14.6667,-52.35,23.05,85,0,0.53,BR,1682680054
358,marsh harbour,26.5412,-77.0636,24.53,77,94,7.26,BS,1682679921
359,namibe,-15.1961,12.1522,28.28,61,88,3.47,AO,1682680181
360,nova sintra,14.8667,-24.7167,20.49,78,0,9.4,CV,1682680182
361,kingston,17.997,-76.7936,26.53,82,20,4.12,JM,1682679937
362,queenstown,-31.8976,26.8753,27.6,11,2,9.73,ZA,1682680183
363,new norfolk,-42.7826,147.0587,10.72,58,77,1.77,AU,1682680184
364,fuling,29.7022,107.3919,16.91,92,100,2.21,CN,1682680184
365,roosevelt,33.9668,-103.4505,10.12,64,62,9.57,US,1682680185
366,grand falls-windsor,48.9332,-55.6649,0.84,91,100,1.34,CA,1682680103
367,boali,4.8005,18.1275,36.17,34,86,1.81,CF,1682680186
368,maceio,-9.6658,-35.7353,28.69,78,40,1.54,BR,1682680187
369,horta,38.5333,-28.6333,17.23,76,20,9.83,PT,1682680187
370,kerikeri,-35.2268,173.9474,15.51,92,100,4.47,NZ,1682680188
371,pangkalanbuun,-2.6833,111.6167,24.95,96,100,1.17,ID,1682680189
372,powell,40.1578,-83.0752,12.67,96,100,2.24,US,1682680085
373,katabu,-4.9333,122.5167,24.9,93,83,2.13,ID,1682680190
374,i-n-salah,27.1935,2.4607,38.41,7,0,9.96,DZ,1682680190
375,holualoa,19.6228,-155.9522,20.28,95,17,1.79,US,1682679938
376,ola,59.5833,151.2833,-1.28,91,75,3.13,RU,1682680192
377,palangkaraya,-2.2,113.8333,26.24,88,94,0.27,ID,1682680192
378,tsiombe,-25.3,45.4833,27.54,53,39,7.64,MG,1682680193
379,waingapu,-9.6567,120.2641,26.78,84,34,2.82,ID,1682680193
380,alofi,-19.0595,-169.9187,25.72,83,100,8.31,NU,1682680194
381,zambezi,-13.5432,23.1047,28.21,31,6,4.81,ZM,1682680195
382,biasca,46.3597,8.9697,18.86,58,100,1.66,CH,1682680196
